number,target
2417,O43704
2418,O95069
2419,P05089
2420,P23141
2421,P00325
2422,Q00536
2423,P27907
2424,P04271
2425,Q00266
2426,Q9NSE4
2427,P9WIE5
2428,Q56748
2429,P22460
2430,P51164
2431,P46828
2432,Q15418
2433,Q9Y663
2434,P00512
2435,P10902
2436,B7JA91
2437,O32393
2438,P27828
2439,P26602
2440,P22102
2441,Q9X6R4
2442,P11922
2443,P52477
2444,Q8GB52
2445,Q9LCC8
2446,Q9NTG7
2447,Q8NFD2
2448,P27505
2449,Q8DNV6
2450,P30939
2451,P13100
2452,P08877
2453,Q05513
2454,P06971
2455,P83796
2456,Q92570
2457,P13817
2458,P08254
2459,O94766
2460,P28329
2461,Q15822
2462,P11511
2463,Q9UGM1
2464,P30532
2465,Q15825
2466,Q05901
2467,Q9Y617
2468,Q7RTX0
2469,P41146
2470,P0A7V3
2471,P9WFF5
2472,P01270
2473,Q8AAK6
2474,P11142
2475,Q55813
2476,P01834
2477,P54710
2478,P0A7S3
2479,Q9UM07
2480,P01579
2481,P04278
2482,P12256
2483,Q9H239
2484,P0A8D6
2485,P42680
2486,P22413
2487,P10696
2488,O75380
2489,Q9BXT2
2490,Q15274
2491,Q8TDS4
2492,P40261
2493,P49019
2494,P19099
2495,O95168
2496,O00222
2497,P9WNX3
2498,P02708
2499,Q14432
2500,P31142
2501,P36871
2502,Q9Y6F1
2503,Q07343
2504,Q9NP56
2505,Q13946
2506,P27815
2507,Q08499
2508,Q08493
2509,P56653
2510,Q5SLP8
2511,P0AD65
2512,P28331
2513,Q15125
2514,Q99714
2515,C1KC03
2516,P50607
2517,P29972
2518,Q7CL96
2519,Q96NR8
2520,P9WNP5
2521,Q8ZKF6
2522,P49913
2523,Q99707
2524,P07355
2525,P12429
2526,P08758
2527,P09525
2528,P0AEB3
2529,Q9BVG9
2530,P05981
2531,P15289
2532,P27348
2533,P53350
2534,Q8IZS8
2535,Q9UPZ9
2536,P48051
2537,Q92806
2538,P39023
2539,Q9EXV5
2540,Q9AGP8
2541,Q16584
2542,Q53464
2543,O75899
2544,P39900
2545,P05154
2546,Q07020
2547,Q9UPY5
2548,P24752
2549,O15111
2550,P11021
2551,Q00534
2552,P53671
2553,Q81Y15
2554,Q13526
2555,O95865
2556,P9WNW7
2557,Q82ZJ0
2558,Q8NI60
2559,Q8GIQ0
2560,Q13509
2561,P37001
2562,Q8IDQ9
2563,Q57265
2564,P35243
2565,O00187
2566,Q9NSD5
2567,P43235
2568,Q7KZA3
2569,P00395
2570,P00326
2571,P22830
2572,P54965
2573,Q96RI1
2574,P51161
2575,P62508
2576,P13073
2577,P00414
2578,P20674
2579,P10606
2580,P09669
2581,P15954
2582,P10176
2583,Q02221
2584,P14854
2585,P24310
2586,Q8TDU6
2587,Q9UGN5
2588,P04585
2589,P03366
2590,P30825
2591,P34995
2592,Q9I7A8
2593,Q9HD40
2594,P61024
2595,Q16665
2596,P12268
2597,Q9UBF8
2598,Q9H4B7
2599,P68366
2600,B0B3C9
2601,Q16706
2602,P00441
2603,P07195
2604,P14779
2605,P52026
2606,P17252
2607,Q9RQB9
2608,Q5UPJ7
2609,Q06830
2610,Q81L49
2611,P13376
2612,P07998
2613,Q9NWT6
2614,Q74EF5
2615,P27623
2616,P22792
2617,P57059
2618,Q8NG66
2619,P53667
2620,Q9NVS9
2621,Q27738
2622,P0AEX9
2623,P25774
2624,Q14978
2625,P0AB80
2626,Q16651
2627,P28702
2628,P53554
2629,P37330
2630,P10415
2631,P50391
2632,P06009
2633,O00444
2634,P50052
2635,Q9UM73
2636,P35610
2637,Q9NXG6
2638,P10636
2639,O06796
2640,P00720
2641,O70038
2642,P19793
2643,P50579
2644,P06010
2645,P17538
2646,P00138
2647,Q8N142
2648,Q27796
2649,Q8N8R3
2650,P00734
2651,P05362
2652,P06870
2653,P07477
2654,O60427
2655,P04818
2656,P59676
2657,P01138
2658,A0A0H2XJ39
2659,P23905
2660,P30968
2661,P35094
2662,P50135
2663,P31946
2664,P20964
2665,P02929
2666,Q13885
2667,P18085
2668,P08174
2669,P04391
2670,P0AEZ1
2671,P35961
2672,Q8IVA8
2673,P16860
2674,Q8WTV0
2675,Q8ZNF3
2676,Q03721
2677,P0AEB2
2678,P29498
2679,P0A7Z3
2680,Q9A1B7
2681,Q16613
2682,P0A7J6
2683,Q9P0L2
2684,P18251
2685,P48664
2686,Q02834
2687,Q9UGM6
2688,Q53ZE5
2689,Q8IJ74
2690,P46881
2691,Q969S8
2692,Q96DB2
2693,O15379
2694,P56524
2695,Q9UQL6
2696,Q9UBN7
2697,Q8WUI4
2698,Q9BY41
2699,Q9UKV0
2700,P0AFB1
2701,Q5T1J1
2702,Q9KX40
2703,Q9NYK1
2704,Q9NR97
2705,Q02169
2706,P00973
2707,F5HC79
2708,F5HCU8
2709,P9WPP7
2710,P01008
2711,Q01581
2712,P31391
2713,Q8IW54
2714,P10620
2715,P0AEG6
2716,P10145
2717,P0ACJ8
2718,P13674
2719,Q16853
2720,C0H4X5
2721,P02920
2722,P55792
2723,P11309
2724,P0C0Y9
2725,Q9HBL8
2726,Q51782
2727,P11230
2728,Q07001
2729,P07510
2730,Q04844
2731,P43155
2732,Q9UJS0
2733,P09936
2734,P00374
2735,P08164
2736,Q14164
2737,P41231
2738,P18405
2739,P31213
2740,P51857
2741,P41007
2742,P14193
2743,P02788
2744,P80188
2745,P05102
2746,P43876
2747,Q72JJ3
2748,Q8X444
2749,P04181
2750,P27914
2751,Q873X9
2752,Q93TU6
2753,P08909
2754,Q5JTZ9
2755,O34450
2756,Q13627
2757,P10635
2758,Q8IB78
2759,P13981
2760,O90777
2761,P15531
2762,Q99584
2763,P23297
2764,P80511
2765,P29034
2766,Q9HVZ0
2767,P34897
2768,P22983
2769,P53597
2770,Q9P0Z9
2771,Q8NET8
2772,P56740
2773,P08183
2774,P06746
2775,Q8I0V4
2776,C0H5H0
2777,P62660
2778,Q13630
2779,P08217
2780,P32170
2781,P21408
2782,P11474
2783,P60709
2784,P11498
2785,Q06278
2786,Q9NWZ3
2787,P23945
2788,Q8Z2X8
2789,P00558
2790,Q8IDP8
2791,Q9Y5S1
2792,Q9X242
2793,P36896
2794,Q26609
2795,Q9Y2I1
2796,P14532
2797,P09038
2798,O14646
2799,P17752
2800,Q96PY6
2801,P02689
2802,Q86V67
2803,Q15046
2804,Q99661
2805,P32245
2806,P11597
2807,O60285
2808,P14324
2809,P24232
2810,P51681
2811,P01189
2812,P16066
2813,P39639
2814,P61177
2815,Q53901
2816,Q47066
2817,P68104
2818,P50618
2819,P75430
2820,Q836J0
2821,Q9Y694
2822,P0A9J8
2823,Q6W5P4
2824,P48549
2825,P59768
2826,O14649
2827,Q9ZB17
2828,P06818
2829,Q9UF33
2830,O43447
2831,P48067
2832,P0A3S0
2833,O06644
2834,P39019
2835,O95264
2836,Q8WXA8
2837,Q70Z44
2838,Q8VUS7
2839,P38489
2840,P49721
2841,P37700
2842,P00437
2843,P20839
2844,Q13907
2845,Q54527
2846,Q8IVL5
2847,P12277
2848,P0AFL3
2849,P48448
2850,P29377
2851,Q9FD87
2852,Q16790
2853,O15528
2854,Q7SIA3
2855,Q9BXJ7
2856,P31939
2857,Q9X022
2858,P27338
2859,P45124
2860,P27693
2861,P14210
2862,P76270
2863,P45381
2864,P56937
2865,O14818
2866,Q9UE69
2867,P20823
2868,Q05581
2869,P0A115
2870,P71119
2871,O14842
2872,Q14697
2873,P10828
2874,P10827
2875,Q9BUF5
2876,Q08209
2877,P37093
2878,P80529
2879,Q54528
2880,Q6NVY1
2881,Q8IU85
2882,P04179
2883,P20711
2884,P09417
2885,P24425
2886,P0C0Y8
2887,O85465
2888,P42330
2889,Q8I4W4
2890,Q8IC05
2891,P0A6Y5
2892,P21430
2893,Q98GN8
2894,P05062
2895,Q8ZPC0
2896,P07822
2897,Q9I194
2898,P49189
2899,Q7NSZ5
2900,P49069
2901,P10613
2902,Q04782
2903,C0H546
2904,Q14534
2905,Q45135
2906,Q9Y6M9
2907,P07204
2908,P12104
2909,P31151
2910,Q72JD8
2911,P33260
2912,P05231
2913,P0ACB2
2914,P0A6Q3
2915,P29474
2916,P16591
2917,P0AA43
2918,Q7KQK0
2919,P49247
2920,P20645
2921,P25705
2922,Q12882
2923,P22459
2924,P43088
2925,Q46704
2926,Q08853
2927,Q84424
2928,Q9H252
2929,Q9NS40
2930,Q9Y691
2931,Q9NPA1
2932,Q86W47
2933,Q92952
2934,Q9H2S1
2935,Q9UGI6
2936,P23434
2937,P35520
2938,P06008
2939,P12528
2940,Q44244
2941,P14618
2942,P09769
2943,P24093
2944,P0ADY7
2945,Q15067
2946,O35000
2947,O60359
2948,P14920
2949,P17846
2950,P20701
2951,P04035
2952,Q04759
2953,Q8IM15
2954,Q00535
2955,P22888
2956,Q9BQE3
2957,Q9BVS4
2958,P06396
2959,P9WNS5
2960,P08581
2961,Q8I372
2962,Q14541
2963,Q16515
2964,Q9NXE4
2965,Q9Y6I3
2966,P42263
2967,Q8IVH4
2968,Q05397
2969,P33527
2970,P09601
2971,Q59771
2972,P27302
2973,P19021
2974,P40939
2975,P26827
2976,Q9Y2T6
2977,P83786
2978,O14521
2979,P00269
2980,P15121
2981,Q9Y5Y4
2982,O60218
2983,P31057
2984,Q53ET4
2985,O33833
2986,O95167
2987,P48066
2988,P9WQG9
2989,P13631
2990,P10826
2991,P10276
2992,P48443
2993,P29597
2994,P50597
2995,Q9H598
2996,P03901
2997,P07237
2998,Q9R381
2999,Q5SJ80
3000,P0AC44
3001,Q56UN5
3002,P08684
3003,P77425
3004,Q9UN76
3005,P9WK19
3006,P19113
3007,Q8IJT2
3008,Q99873
3009,O95622
3010,P40406
3011,C6S3C7
3012,P18548
3013,P03023
3014,Q15111
3015,P12758
3016,P34972
3017,P00749
3018,O76082
3019,P49589
3020,P13956
3021,Q03393
3022,Q4ZHU6
3023,O43837
3024,P80192
3025,P30084
3026,O60701
3027,P0A8V2
3028,P0A7Z4
3029,P07900
3030,P14625
3031,P0A8T7
3032,P0A6B1
3033,P22001
3034,Q81EE4
3035,Q79G13
3036,P24092
3037,P35089
3038,P61320
3039,Q99470
3040,P22262
3041,P80342
3042,Q15303
3043,P05121
3044,P10109
3045,P0A3M6
3046,Q9KB30
3047,Q9HAN9
3048,P10915
3049,P30531
3050,P0ADA1
3051,Q7B8V4
3052,P31937
3053,A0A024R8I1
3054,Q15208
3055,P07947
3056,Q57254
3057,Q13164
3058,P15692
3059,O95298
3060,P16581
3061,P17302
3062,P19320
3063,Q0S9X1
3064,P29275
3065,P0DMS8
3066,P42336
3067,O00329
3068,P42338
3069,Q14123
3070,O00408
3071,Q13370
3072,P51160
3073,Q9HCR9
